country;zip;city;zeros
NO;1251;OSLO;0
NO;1252;OSLO;0
NO;1253;OSLO;0
NO;1254;OSLO;0
NO;1255;OSLO;0
NO;1256;OSLO;0
NO;1257;OSLO;0
NO;1258;OSLO;0
NO;1259;OSLO;0
NO;1262;OSLO;0
NO;1263;OSLO;0
NO;1266;OSLO;0
NO;1270;OSLO;0
NO;1271;OSLO;0
NO;1272;OSLO;0
NO;1273;OSLO;0
NO;1274;OSLO;0
NO;1275;OSLO;0
NO;1278;OSLO;0
NO;1279;OSLO;0
NO;1281;OSLO;0
NO;1283;OSLO;0
NO;1284;OSLO;0
NO;1285;OSLO;0
NO;1286;OSLO;0
NO;1290;OSLO;0
NO;1291;OSLO;0
NO;1294;OSLO;0
NO;1295;OSLO;0
NO;1300;SANDVIKA;0
NO;1301;SANDVIKA;0
NO;1302;SANDVIKA;0
NO;1303;SANDVIKA;0
NO;1304;SANDVIKA;0
NO;1305;HASLUM;0
NO;1306;SANDVIKA;0
NO;1307;FORNEBU;0
NO;1308;JAR;0
NO;1309;RUD;0
NO;1311;HØVIKODDEN;0
NO;1312;SLEPENDEN;0
NO;1313;VØYENENGA;0
NO;1314;VØYENENGA;0
NO;1316;EIKSMARKA;0
NO;1317;BÆRUMS VERK;0
NO;1318;BEKKESTUA;0
NO;1319;BEKKESTUA;0
NO;1321;STABEKK;0
NO;1322;HØVIK;0
NO;1323;HØVIK;0
NO;1324;LYSAKER;0
NO;1325;LYSAKER;0
NO;1326;LYSAKER;0
NO;1327;LYSAKER;0
NO;1328;HØVIK;0
NO;1329;LOMMEDALEN;0
NO;1330;FORNEBU;0
NO;1331;FORNEBU;0
NO;1332;ØSTERÅS;0
NO;1333;KOLSÅS;0
NO;1334;RYKKINN;0
NO;1335;SNARØYA;0
NO;1336;SANDVIKA;0
NO;1337;SANDVIKA;0
NO;1338;SANDVIKA;0
NO;1339;VØYENENGA;0
NO;1340;SKUI;0
NO;1341;SLEPENDEN;0
NO;1342;GJETTUM;0
NO;1344;HASLUM;0
NO;1346;GJETTUM;0
NO;1348;RYKKINN;0
NO;1349;RYKKINN;0
NO;1350;LOMMEDALEN;0
